id_senha,agencia,codigo_agencia,numero_balcao,tipo_servico,data_atendimento,hora_chegada,hora_atendimento,hora_fim,tempo_espera_min,tempo_atendimento_min,status_atendimento,prioridade,funcionario_id,capacidade_balcao,observacoes
SNH0003453,Ingombota,KXM-ING,2,Levantamento,03/02/2025,12:20,12:24,12:59,4,35,Reagendado,Gestante,FUN0050,4,Atendimento prioritário solicitado
SNH0013959,Kilamba,KXM-KIL,3,Crédito,06/01/2025,08:11,08:43,,32,34,Atendido,Normal,FUN0031,4,Problema com o cartão
SNH0000679,Talatona,KXM-TAL,1,deposito,2025-03-28,14:53,16:14,16:54,81,40,Atendido,Idoso,FUN0031,4,Cliente satisfeito
SNH0008847,Kilamba,KXM-KIL,4,Abertura de Conta,05/02/2025,11:49,13:13,13:33,84,20,Atendido, Normal,FUN0009,4,
SNH0011964,Viana,KXM-VIA,4,Abertura de Conta,08/03/2025,09:40,10:39,11:18,59,39,Reagendado,Idoso,FUN0050,4,
SNH0001957,Viana ,KXM-SAM,2,Actualização de Dados,24/01/2025,14:32,16:28,16:34,116,6,Desistiu,Idoso,FUN0017,4,Falta de documentos
SNH0010075,Maianga,KXM-MAI,1,Transferência,07-01-2025,11:34,12:51,13:09,77,18,Atendido,Idoso,FUN0022,4,Problema com o cartão
SNH0013007,Maianga,KXM-MAI,3,Levantamento,2025-03-13,09:42,10:53,11:36,71,43,Atendido,Normal,FUN0039,4,Cliente reclamou do tempo de espera
SNH0012691,Samba,KXM-SAM,2,Pagamento de Serviços,24/02/2025,13:11,14:08,14:26,57,18,Atendido,Empresa,FUN0046,4,Problema com o cartão
SNH0005824,Miramar,KXM-MIR,3,DEPOSITO,10-03-2025,08:39,09:56,10:39,77,43,Atendido,Normal,FUN0007,4,Sem energia - sistema reiniciado
SNH0002089,Miramar,KXM-MIR,4,Abertura de Conta,19/02/2025,14:44,15:36,15:48,52,12,Atendido,Normal,FUN0024,4,
SNH0011320,Cazenga,KXM-CAZ,1,Levantamento,2025-02-04,10:16,11:40,12:06,84,26,Atendido,Empresa,FUN0033,4,
SNH0011929,Maianga,KXM-MAI,3,Transferência,2025-03-10,11:18,12:36,12:42,78,6,Atendido,Gestante,FUN0020,4,Sistema lento
SNH0012121,Rangel,KXM-RAN,4,CRÉDITO,2025-01-07,14:16,15:01,15:44,45,43,Atendido,Empresa,FUN0013,4,
SNH0008075,Ingombota,KXM-ING,1,Transferência,11/03/2025,09:05,10:25,,80,41,Desistiu,Idoso,FUN0038,4,
SNH0005519,Samba,KXM-SAM,3,Levantamento,2025-01-28,10:50,12:28,13:07,98,39,Atendido,Normal,FUN0015,4,Problema com o cartão
SN7172,Viana,KXM-VIA,2,Abertura de Conta,24-03-2025,11:36,13:16,13:55,100,-14,Atendido,Normal,FUN0050,4,Atendimento prioritário solicitado
SNH0001004,Ingombota,KXM-ING,3,Abertura de Conta,27/01/2025,13:26,13:46,14:10,20,24,Atendido,Normal,FUN0033,4,Problema com o cartão
SNH0001579,Cazenga,KXM-CAZ,3,Pagamento de Serviços,2025-01-27,09:23,10:52,11:11,89,19,Atendido,Gestante,FUN0016,4,Cliente voltará amanhã
SNH0015686,Samba,KXM-SAM,3,Pagamento de Serviços,31/03/2025,10:35,12:21,12:31,106,417,Atendido,Normal,FUN0020,4,Sistema lento
SNH0013401,Benfica,KXM-BEN,2,Depósito,24/03/2025,10:34,11:27,11:48,53,21,Atendido,Idoso,FUN0003,4,
SNH0013337,Benfica,KXM-BEN,3,Pagamento de Serviços,12/02/2025,13:43,15:09,15:14,86,5,Atendido,Normal,,4,
SNH0011618,Rangel,KXM-RAN,3,Levantamento,27/01/2025,08:33,10:25,10:56,112,31,Atendido,Normal,,4,Atendimento prioritário solicitado
SNH0016936,Talatona,KXM-TAL,2,Transferência,28/03/2025,13:03,13:33,14:08,30,35,Reagendado,Normal,FUN0029,4,Cliente reclamou do tempo de espera
SNH0017902,Samba,KXM-SAM,2,Crédito,2025-03-12,08:09,08:41,09:23,32,42,Atendido,Idoso,FUN0031,4,Sem energia - sistema reiniciado
SNH0007852,Kilamba,KXM-KIL,2,Pagamento de Serviços,22/03/2025,12:56,14:34,15:07,98,33,Atendido,Normal,FUN0021,4,
SNH0013466,Kilamba,KXM-KIL,2,Levantamento,23/01/2025,11:22,12:49,13:32,87,43,Atendido,Idoso,FUN0021,4,
SNH0016635,Talatona,KXM-TAL,4,Crédito,03/02/2025,08:28,08:58,09:39,30,41,Reagendado,Normal,FUN0017,4,Falta de documentos
SNH0008022,Kilamba,KXM-KIL,3,Levantamento,2025-03-31,13:38,14:14,14:42,36,28,Atendido,Empresa,FUN0004,4,
SNH0013167,Rangel,KXM-RAN,4,Pagamento de Serviços,2025/03/24,11:23,12:40,12:58,77,18,Desistiu,Normal,FUN0016,4,Sistema lento
SNH0007396,Samba,KXM-SAM,3,pagamento de serviços,24/01/2025,09:16,11:02,,106,11,Atendido,Idoso,FUN0017,4,
SNH0001491,Viana,KXM-VIA,4,Crédito,04-02-2025,14:42,16:25,16:57,103,32,Desistiu,Empresa,FUN0046,4,
SNH0008084,Maianga,KXM-MAI,1,Crédito,13/01/2025,08:14,10:13,,119,24,Desistiu,Normal,FUN0021,4,Cliente voltará amanhã
SN7525,Kilamba,KXM-KIL,3,Levantamento,21/03/2025,10:49,11:09,11:48,20,39,Atendido,Normal,FUN0008,4,Sem energia - sistema reiniciado
SNH0018126,Viana ,KXM-SAM,1,,2025-03-07,11:27,11:36,11:42,9,6,Atendido,Normal,FUN0022,4,Cliente voltará amanhã
SNH0004349,Miramar,KXM-MIR,4,Transferência,16/01/2025,08:16,09:44,10:24,88,40,Atendido,Idoso,FUN0030,4,
SNH0010449,Ingombota,KXM-ING,1,Transferência,2025-01-29,10:43,12:08,12:21,85,13,Atendido,Normal,FUN0004,4,Cliente satisfeito
SNH0006658,Kilamba,KXM-KIL,3,Transferência,24-02-2025,14:58,13:32,08:37,94,44,Atendido,Empresa,FUN0045,4,Impressora com falha
SNH0007283,Rangel,KXM-RAN,4,Abertura de Conta,05/03/2025,13:57,14:45,15:26,48,41,Atendido,Normal,FUN0005,4,Cliente voltará amanhã
SNH0019931,Talatona,KXM-TAL,1,Depósito ,2025-01-20,10:17,10:39,11:19,22,40,Atendido,Idoso,FUN0018,4,
SNH0009199,Viana,KXM-VIA,1,Depósito,31/03/2025,10:50,11:36,11:58,46,22,Atendido,Normal,FUN0025,4,Falta de documentos
SNH0012895,Samba,KXM-SAM,4,Depósito,2025/02/11,12:03,12:49,13:28,46,39,Atendido,Gestante,FUN0025,4,Sistema lento
SEN-0016626,Kilamba,KXM-KIL,3,Levantamento,17/02/2025,14:59,15:03,15:21,4,18,Atendido,Normal,FUN0030,4,
SNH0005872,Samba,KXM-SAM,1,Levantamento,14/03/2025,10:58,12:28,13:13,90,45,Atendido,Normal,FUN0032,4,Sistema lento
SNH0016355,Rangel,KXM-RAN,1,Levantamento,12/02/2025,10:47,12:14,12:56,87,42,Atendido,Normal,FUN0010,4,Cliente voltará amanhã
SNH0004093,Benfica,KXM-BEN,4,Levantamento,11/02/2025,09:34,09:40,10:22,6,42,Atendido,Normal,,4,
SNH0010055,Rangel,KXM-RAN,1,Levantamento,2025-01-20,,14:55,15:38,96,43,Atendido,Normal,FUN0019,4,Cliente reclamou do tempo de espera
SNH0018335,Rangel,KXM-RAN,3,Actualização de Dados,2025-01-14,08:40,10:21,10:45,101,24,Atendido,Gestante,FUN0013,4,
SNH0018619,Talatona,KXM-TAL,1,Abertura de Conta,22-03-2025,08:22,09:28,09:51,66,23,Atendido,Normal,FUN0025,4,Sem energia - sistema reiniciado
SN15397,Rangel,KXM-RAN,2,Levantamento,2025-03-21,,11:45,11:51,8,6,Atendido,Normal,FUN0025,4,
SNH0000003,Cazenga,KXM-CAZ,3,Actualização de Dados,27/03/2025,08:51,09:39,09:59,48,20,Atendido,Gestante,FUN0011,4,
SNH0015424,Maianga,KXM-MAI,1,Levantamento,17-03-2025,11:08,12:35,12:54,87,19,Reagendado,Normal,FUN0033,4,Cliente voltará amanhã
SNH0013661,Kilamba,KXM-KIL,4,Transferência,14/03/2025,11:52,12:35,12:54,43,19,Desistiu,Normal,FUN0045,4,Falta de documentos
SNH0005019,Rangel,KXM-RAN,3,Abertura de Conta,08/01/2025,14:15,14:35,14:57,0,22,Atendido,Normal,FUN0005,4,Atendimento prioritário solicitado
SNH0002590,Kilamba,KXM-KIL,1,Actualização de Dados,15/03/2025,08:43,10:36,,113,40,Desistiu,Idoso,FUN0001,4,Problema com o cartão
SNH0002314,Miramar,KXM-MIR,3,Actualização de Dados,28-03-2025,13:53,15:21,15:24,88,3,Atendido,Normal,FUN0038,4,Falta de documentos
SNH0005992,Viana,KXM-VIA,2,Transferência,2025-01-20,14:27,14:50,15:34,23,44,Atendido,Normal,FUN0005,4,
SNH0014152,Samba,KXM-SAM,3,Abertura de conta,08/02/2025,13:13,14:08,14:11,55,3,Atendido,Normal,FUN0001,4,Atendimento prioritário solicitado
SNH0012463,Viana,KXM-VIA,2,Crédito,13/01/2025,09:45,09:55,10:35,0,40,Reagendado,Gestante,FUN0050,4,
SNH0014789,Talatona,KXM-TAL,3,Pagamento de Serviços,20/01/2025,08:23,14:42,09:36,93,4,Desistiu,Empresa,FUN0048,4,
SNH0004060,Viana ,KXM-KIL,4,Levantamento,2025-01-16,08:59,10:38,11:21,99,43,Reagendado,Normal,FUN0008,4,Sem energia - sistema reiniciado
SNH0018250,Miramar,KXM-MIR,2,Deposito,21/03/2025,13:32,15:17,16:01,105,44,Atendido,Empresa,FUN0028,4,
SEN-0008902,Miramar,KXM-MIR,1,Abertura de Conta,21/02/2025,08:44,10:39,10:42,115,3,Atendido,Normal,FUN0036,4,Falta de documentos
SNH0001185,Ingombota,KXM-ING,4,Transferência,16/01/2025,14:09,14:10,14:16,1,6,Atendido,Normal,FUN0048,4,Falta de documentos
SNH0002747,Cazenga,KXM-CAZ,2,Depósito,01/02/2025,11:38,11:50,12:33,12,43,Reagendado,Normal,FUN0008,4,Atendimento prioritário solicitado
SNH0005758,Talatona,KXM-TAL,3,Pagamento de Serviços,2025-03-24,10:21,11:39,09:22,115,3,Atendido,Normal,FUN0022,4,
SNH0016290,Samba,KXM-SAM,1,Abertura de Conta,31/03/2025,13:41,14:58,15:23,77,25,Atendido,Normal,FUN0033,4,
SNH0013110,Viana,KXM-VIA,2,Crédito,21/01/2025,11:34,12:32,13:03,58,31,Atendido,Gestante,FUN0027,4,Falta de documentos
SNH0016035,Talatona,KXM-TAL,3,Pagamento de Serviços,2025/01/09,10:15,10:27,10:42,12,15,Atendido,Empresa,FUN0046,4,
SNH0005192,Rangel,KXM-RAN,2,,27/03/2025,13:21,14:54,15:11,93,17,Atendido,Normal,FUN0024,4,Sistema lento
SNH0006979,Samba,KXM-SAM,2,Crédito,22-01-2025,11:20,11:20,,0,18,Atendido,Normal,FUN0020,4,Falta de documentos
SNH0002997,Rangel,KXM-RAN,1,Actualização de Dados,14-03-2025,08:53,11:45,10:07,89,14,Desistiu,Normal,FUN0009,4,Cliente reclamou do tempo de espera
SNH0010229,Cazenga,KXM-CAZ,2,,2025/02/05,08:32,08:44,08:50,12,6,Atendido,Normal,FUN0022,4,Sistema lento
SNH0011759,Miramar,KXM-MIR,2,Pagamento de Serviços,2025-01-10,12:40,14:02,14:25,82,23,Atendido,Empresa,FUN0037,4,
SNH0004128,Benfica,KXM-BEN,3,Actualização de Dados,14/03/2025,08:36,09:00,09:11,24,11,Atendido,Normal,FUN0014,4,Cliente satisfeito
SNH0003727,Samba,KXM-SAM,4,Tranferência,2025-03-05,12:42,13:32,13:54,50,22,Reagendado,Normal,FUN0031,4,Falta de documentos
SNH0008387,Benfica,KXM-BEN,3,Crédito,20/01/2025,11:14,11:29,12:11,15,42,Atendido,Normal,FUN0002,4,Atendimento prioritário solicitado
SNH0006839,Kilamba ,KXM-SAM,3,Pagamento de Serviços,2025-03-11,12:45,13:39,13:59,0,20,Atendido,Normal,FUN0039,4,
SNH0004130,Miramar,KXM-MIR,4,Crédito,2025/03/29,14:43,14:45,15:17,2,32,Atendido,Normal,FUN0025,4,
SNH0000541,Samba,KXM-SAM,3,Pagamento de Serviços,11/01/2025,,11:39,10:18,9,14,Atendido,Normal,FUN0034,4,Cliente satisfeito
SNH0006284,Rangel,KXM-RAN,3,Crédito,2025-02-05,08:34,08:39,09:21,5,42,Atendido,Normal,FUN0011,4,Falta de documentos
SNH0001392,Ingombota,KXM-ING,3,deposito,2025-01-20,13:36,13:38,13:59,2,21,Atendido,Normal,FUN0042,4,Sistema lento
SNH0019077,Benfica,KXM-BEN,1,Depósito,2025-02-10,14:39,14:55,15:38,16,43,Atendido,Normal,FUN0016,4,
SNH0001113,Talatona,KXM-TAL,4,Depósito,2025/01/03,14:28,15:45,16:00,77,15,Atendido, Normal,FUN0029,4,
SNH0007997,Maianga,KXM-MAI,1,Transferência,2025/02/27,10:53,10:57,,4,14,Desistiu,Gestante,FUN0046,4,Falta de documentos
SNH0015222,Talatona,KXM-TAL,3,Depósito,2025/01/22,10:22,10:49,11:07,27,213,Atendido,Idoso,FUN0010,4,
SNH0014049,Kilamba,KXM-KIL,3,Depósito,12-03-2025,08:30,10:20,10:29,110,9,Atendido,Normal,FUN0017,4,Cliente satisfeito
SNH0018873,Viana,KXM-VIA,2,Depósito,28/01/2025,09:27,10:21,10:44,54,23,Reagendado,Normal,FUN0014,4,Impressora com falha
SNH0012850,Cazenga,KXM-CAZ,4,Actualização de Dados,31/03/2025,13:13,14:17,14:20,64,3,Atendido,Empresa,FUN0037,4,Atendimento prioritário solicitado
SNH0002458,Viana,KXM-VIA,4,Pagamento de Serviços,10/03/2025,13:00,14:09,14:43,69,34,Atendido,Normal,FUN0012,4,
SNH0013357,Rangel,KXM-RAN,3,pagamento de serviços,2025-02-11,12:52,14:29,14:43,97,14,Atendido,Normal,FUN0033,4,
SNH0017203,Benfica,KXM-BEN,4,Levantamento,07/02/2025,08:44,08:57,09:37,13,40,Atendido,Idoso,FUN0013,4,Falta de documentos
SNH0018798,Talatona,KXM-TAL,4,Abertura de Conta,2025-01-13,10:21,10:33,11:05,12,32,Atendido,Normal,FUN0023,4,
SNH0005679,Cazenga,KXM-CAZ,2,Actualização de Dados,31/03/2025,14:30,15:26,,56,26,Desistiu,Normal,FUN0021,4,Cliente voltará amanhã
SNH0011739,Kilamba,KXM-KIL,4,Pagamento de Serviços,2025-02-07,08:23,09:44,10:03,81,19,Atendido,Normal,FUN0050,4,Problema com o cartão
SNH0006266,Talatona,KXM-TAL,1,Crédito,27-01-2025,11:04,12:44,13:02,100,18,Atendido,Empresa,FUN0003,4,
SNH0013682,Talatona,KXM-TAL,1,Abertura de Conta,05/02/2025,12:54,14:01,14:25,67,24,Atendido,Idoso,FUN0049,4,Problema com o cartão
SNH0002870,Viana,KXM-VIA,3,Levantamento,29/01/2025,12:59,14:26,15:11,0,45,Reagendado,IDOSO,FUN0047,4,Problema com o cartão
SNH0008164,Cazenga,KXM-CAZ,3,Crédito,14/02/2025,09:19,11:10,11:18,111,8,Atendido,Normal,FUN0041,4,Sem energia - sistema reiniciado
SNH0005522,Cazenga,KXM-CAZ,2,Transferência,24/03/2025,11:44,12:40,13:14,56,-15,Atendido,Normal,FUN0005,4,Atendimento prioritário solicitado
SNH0007045,Kilamba,KXM-KIL,2,Tranferência,2025-02-28,11:18,11:18,,0,45,Desistiu,Normal,FUN0040,4,Atendimento prioritário solicitado
SNH0008245,Rangel,KXM-RAN,2,Actualização de Dados,03/03/2025,12:41,14:05,,84,30,Atendido,Idoso,FUN0026,4,Problema com o cartão
SNH0005094,Kilamba,KXM-KIL,3,Crédito,13/02/2025,08:29,09:04,09:25,35,21,Atendido,Empresa,FUN0037,4,Falta de documentos
SNH0006779,Miramar,KXM-MIR,2,Credito,2025-03-18,10:20,11:40,11:55,80,15,Atendido,gestante,FUN0041,4,Sistema lento
SNH0017023,Cazenga,KXM-CAZ,4,Abertura de Conta,2025-02-20,14:25,14:47,15:04,22,17,Atendido,Idoso,FUN0016,4,Falta de documentos
SNH0008493,Rangel,KXM-RAN,3,Abertura de Conta,04/02/2025,14:42,16:36,16:59,114,23,Atendido,Gestante,FUN0019,4,
SNH0004037,Cazenga,KXM-CAZ,1,Crédito,2025-03-27,12:04,12:11,12:20,7,9,Atendido,Normal,FUN0047,4,Atendimento prioritário solicitado
SNH0001235,Cazenga,KXM-CAZ,3,Pagamento de Serviços,11/03/2025,13:55,14:56,,-6,33,Desistiu,Normal,FUN0023,4,
SNH0002239,Miramar,KXM-MIR,4,Transferência,09/01/2025,13:54,14:49,15:28,55,39,Atendido,Normal,FUN0003,4,Impressora com falha
SNH0002686,Maianga,KXM-MAI,1,,13/03/2025,09:31,11:05,11:14,94,9,Atendido,Empresa,FUN0026,4,Cliente voltará amanhã
SNH0013556,Cazenga,KXM-CAZ,1,Levantamento,04-01-2025,14:37,16:36,16:56,119,20,Atendido,Gestante,FUN0048,4,
SEN-0000461,Samba,KXM-SAM,4,Levantamento,2025-01-24,08:58,09:02,09:09,4,7,Atendido,Normal,FUN0041,4,Sem energia - sistema reiniciado
SNH0007657,Maianga,KXM-MAI,3,Crédito,04/01/2025,08:00,09:24,09:49,84,489,Atendido,Gestante,FUN0042,4,Atendimento prioritário solicitado
SNH0011235,Viana,KXM-VIA,2,Abertura de Conta,17-03-2025,13:02,13:40,14:16,38,36,Atendido,Gestante,FUN0030,4,Problema com o cartão
SNH0014066,Kilamba ,KXM-MAI,4,Crédito,05/03/2025,11:26,12:15,12:34,907,19,Reagendado,Normal,FUN0017,4,
SNH0011499,Benfica,KXM-BEN,4,Transferência,2025-01-13,,11:00,11:23,111,23,Reagendado,Empresa,FUN0036,4,
SNH0015607,Miramar,KXM-MIR,4,Deposito,28/02/2025,13:44,15:19,15:34,95,15,Desistiu,Idoso,FUN0002,4,
SNH0014903,Miramar,KXM-MIR,2,deposito,2025-01-17,08:24,10:20,11:02,116,42,Reagendado,Normal,FUN0016,4,
SNH0004165,Kilamba,KXM-KIL,2,Transferência,2025-01-08,08:27,08:34,08:58,7,24,Atendido,Normal,FUN0005,4,Cliente reclamou do tempo de espera
SNH0018399,Viana ,KXM-ING,4,Pagamento de Serviços,22/03/2025,09:17,09:26,10:09,-30,43,Atendido,Normal,FUN0050,4,
SNH0006736,Rangel,KXM-RAN,1,Crédito,17/02/2025,12:28,12:51,13:19,23,28,Atendido,Normal,FUN0044,4,Cliente reclamou do tempo de espera
SNH0007357,Kilamba,KXM-KIL,1,Pagamento de Serviços,2025-01-06,13:09,13:53,14:11,44,18,Atendido,Normal,FUN0013,4,Sem energia - sistema reiniciado
SNH0002066,Talatona,KXM-TAL,2,Depósito,12/03/2025,09:45,11:21,11:29,96,8,Atendido,Normal,FUN0036,4,Cliente satisfeito
SNH0012858,Benfica,KXM-BEN,1,Transferência,03/02/2025,12:37,14:34,15:07,117,33,Atendido,Gestante,FUN0036,4,Impressora com falha
SEN-0005838,Talatona,KXM-TAL,4,Actualização de Dados,2025-03-03,09:11,10:45,11:27,94,42,Atendido,Idoso,,4,
SNH0003220,Viana,KXM-VIA,2,Abertura de Conta,2025-01-16,11:42,12:19,12:38,37,19,Atendido,Normal,,4,
SNH0009556,Kilamba,KXM-KIL,2,Transferência,2025-03-27,09:01,09:48,10:18,47,30,Atendido,Normal,FUN0003,4,Sistema lento
SNH0019723,Miramar,KXM-MIR,3,Crédito,2025-02-21,11:41,12:20,12:29,39,9,Atendido,Normal,FUN0010,4,
SNH0015736,Rangel,KXM-RAN,2,Depósito,14/03/2025,09:10,09:53,10:27,43,34,Atendido,Empresa,FUN0034,4,Sem energia - sistema reiniciado
SNH0005514,Viana,KXM-VIA,4,Pagamento de Serviços,2025/01/30,08:37,09:23,09:30,46,7,Atendido,Empresa,FUN0027,4,
SNH0012086,Maianga,KXM-MAI,4,Transferência,05/03/2025,11:55,13:26,14:09,91,43,Atendido,Idoso,FUN0013,4,Falta de documentos
SNH0008156,Kilamba,KXM-KIL,2,Levantamento,14/03/2025,11:11,12:16,12:24,65,8,Desistiu,Normal,FUN0011,4,Cliente reclamou do tempo de espera
SNH0016402,Rangel,KXM-RAN,4,Levantamento,2025-01-11,10:37,11:12,11:40,35,28,Atendido,gestante,FUN0005,4,Sistema lento
